MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;AVG_1;AVG_2;AVG_3;AVG_4;AVG_5;AVG_6;AVG_7;AVG_8;AVG_9;AVG_10;AVG_11;AVG_12;AVG_13;Palabra
59,74;-0,65;-2,16;-0,17;0,07;0,39;0,29;0,21;0,5;0,67;0,55;0,68;0,34;46,34;1,31;-0,14;0,47;0,02;0,6;0,28;0,18;0,15;0,25;-0,1;-0,15;0,05;3
56,07;2,02;-2,51;-0,78;-0,86;1,2;0,38;-1,01;0,73;0,51;0,24;0,63;0,03;47,19;1,19;-0,51;0,53;0,01;0,67;0,3;0,08;0,21;0,29;-0,05;-0,09;0,06;3
54,49;1,04;-0,87;-1,22;-0,85;0,52;0,46;0,37;0,3;0,35;0,19;0,1;-0,06;48,44;1,13;-0,68;0,28;-0,14;0,58;0,26;0,13;0,22;0,32;0,01;-0,03;0,1;3
42,63;1,42;-0,14;0,3;0,72;0,96;0,69;1,03;0,75;0,33;0,02;0,58;0,39;48,16;1,28;-0,79;0,23;-0,12;0,66;0,36;0,22;0,27;0,37;0,02;0,03;0,13;3
44,85;-0,35;1,55;0,44;0,88;0,93;0,39;0,99;0,17;0,26;-0,3;0,28;-0,51;48,59;1,03;-0,69;0,21;-0,03;0,68;0,37;0,28;0,24;0,35;-0,01;0,07;0,03;3
44,79;-0,14;1,48;0,27;0,83;1,02;-0,4;-0,07;-0,13;-0,13;-0,41;0,04;-0,48;49,01;0,83;-0,54;0,08;0,03;0,72;0,25;0,24;0,25;0,33;-0,07;0,13;0,04;3
40,18;2,13;-0,46;1,31;0,52;1,09;0,73;0,59;0,4;0,19;-0,43;-0,45;-0,05;48,89;0,87;-0,66;0,13;0,07;0,78;0,27;0,24;0,25;0,3;-0,07;0,11;0,06;3
39,87;1,58;-0,29;0,81;0,7;1,05;0,92;0,61;0,44;0,54;0,3;0,18;0,28;48,71;0,88;-0,72;0,15;0,12;0,83;0,34;0,25;0,28;0,36;0,05;0,13;0,09;3
41,57;1,16;-0,08;0,36;0,36;0,42;0,14;0,44;-0,03;-0,35;-0,37;-0,24;0,06;48,21;0,83;-0,54;0,18;0,3;0,8;0,37;0,32;0,31;0,28;-0,06;0,14;0,05;3
43,39;1,04;-0,07;0,49;0,34;0,26;0,01;0,06;-0,24;-0,4;-0,31;-0,03;-0,35;46,76;0,92;-0,36;0,18;0,27;0,78;0,36;0,32;0,29;0,19;-0,05;0,18;-0,04;3
40,58;1,4;0,83;0,51;0,06;0,49;0,69;0,27;-0,21;0,08;-0,33;-0,25;-0,25;44,84;1,13;-0,06;0,25;0,27;0,79;0,4;0,33;0,22;0,14;-0,14;0,09;-0,09;3
39,01;1,24;-0,56;0,8;0,45;0,99;0,61;0,63;-0,03;0,29;-0,13;-0,19;-0,28;43,14;1,05;0,14;0,41;0,4;0,77;0,42;0,49;0,14;0,11;-0,18;0;-0,13;3
52,03;1,68;-1,96;-0,72;-0,63;0,41;-0,42;-0,15;-0,42;0,59;0,39;-0,82;0,53;42,89;1,12;0,03;0,46;0,42;0,76;0,34;0,44;0,07;0,14;-0,16;-0,09;-0,07;3
59,49;-0,65;-1,96;0,1;0,54;0,43;0,14;0,18;0,3;0,82;0,19;0,1;0,75;44,58;0,91;-0,15;0,44;0,4;0,71;0,28;0,36;0,02;0,19;-0,14;-0,14;-0,03;3
59,53;0,67;-2,24;0,4;0,41;0,13;0,03;-0,17;0,42;0,68;-0,24;0,02;0,43;46,04;1,01;-0,53;0,43;0,36;0,63;0,25;0,24;0,05;0,23;-0,14;-0,16;0,06;3
55,6;1,72;-2,69;-1,05;-0,81;1,4;0,25;-0,52;0,78;0,68;0,38;0,68;0,39;47,12;1,2;-0,95;0,3;0,19;0,67;0,31;0,19;0,14;0,31;-0,06;-0,1;0,15;3
51,43;3,61;0,48;-1,25;-1,14;0,6;0,61;0,12;-0,11;-0,59;-0,22;0,05;0,13;48,25;1,34;-0,85;0,04;0,03;0,62;0,3;0,15;0,09;0,23;-0,04;-0,05;0,17;3
42,44;2,34;0,47;0,42;1,21;1,56;1,31;0,44;-0,57;-0,12;0,13;0,18;-0,32;48,51;1,42;-0,78;0;0,08;0,67;0,34;0,13;-0,01;0,17;-0,05;-0,05;0,11;3
45,07;-0,84;1,87;0,24;0,71;0,78;0,25;0,74;-0,36;0,32;0,49;-0,17;-0,86;48,86;1,22;-0,58;-0,01;0,11;0,7;0,35;0,16;-0,04;0,24;0,04;-0,04;0,02;3
43,36;1,7;0,82;0,75;0,46;0,72;0,15;0,05;-0,48;-0,23;0,57;-0,02;-0,1;48,85;1,29;-0,5;0,02;0,13;0,75;0,36;0,16;-0,07;0,25;0,12;-0,04;0,04;3
39,86;1,82;-0,64;1,19;0,59;0,44;-0,09;0,03;-0,52;0,04;-0,25;-0,09;-0,55;48,78;1,33;-0,64;0,09;0,18;0,74;0,28;0,14;-0,1;0,25;0,13;-0,03;0,01;3
44,29;0,73;0,35;0,61;0,69;0,92;0,36;0,19;-0,29;0,15;-0,24;-0,5;-0,18;49,31;1,28;-0,55;0,07;0,2;0,74;0,26;0,09;-0,13;0,24;0,12;-0,06;0,02;3
41,22;1,78;0,23;0,36;-0,1;-0,07;-0,2;-0,15;-0,18;0;-0,25;0,02;-0,6;48,23;1,29;-0,33;0,18;0,25;0,69;0,28;0,09;-0,1;0,18;0,06;0,03;-0,09;3
40,44;2,11;0,23;1,18;0,45;-0,33;-0,16;0,16;0,17;0,35;0,07;0,02;-0,74;46,32;1,56;-0,11;0,29;0,25;0,61;0,25;0,09;-0,11;0,13;0,04;0,02;-0,24;3
42,26;0,17;0,3;0,53;-1,94;0,43;-1,23;0,17;-0,97;-0,4;-0,3;-0,82;-0,72;44,6;1,51;0,14;0,3;0,01;0,64;0,12;0,12;-0,25;0,02;0,04;-0,06;-0,35;3
52,43;1,04;-2,13;0,05;-1,25;0,77;-0,68;0,19;-0,27;0,95;0,15;-0,48;0,27;44,28;1,45;0,2;0,41;-0,03;0,58;0,03;0,19;-0,36;0,05;0,01;-0,18;-0,37;3
57;0,74;-2,74;-0,03;-0,23;0,56;0,14;0,44;0,22;0,63;0,57;0,04;1,36;44,84;1,16;-0,12;0,53;0,06;0,58;-0,02;0,23;-0,33;0,17;0,09;-0,18;-0,24;3
59,08;-0,66;-2,4;-0,01;0,68;0,12;-0,02;0,19;0,48;1,07;0,36;0,16;0,87;46,5;0,86;-0,41;0,49;0,01;0,43;-0,15;0,2;-0,22;0,29;0,12;-0,18;-0,12;3
