MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;AVG_1;AVG_2;AVG_3;AVG_4;AVG_5;AVG_6;AVG_7;AVG_8;AVG_9;AVG_10;AVG_11;AVG_12;AVG_13;Palabra
41,88;1,68;0,53;0,51;0,5;0,86;0,72;0,48;-0,13;0,02;-0,14;-0,13;-0,31;46,74;1,48;-0,67;-0,11;0,3;0,08;-0,21;0,02;-0,28;-0,23;-0,11;-0,1;-0,23;0
39,27;2,34;0,02;0,51;0,12;0,24;0,77;0,42;0,07;0,01;-0,34;0,04;0,19;45,75;1,63;-0,29;0,2;0,37;0,22;-0,05;0,07;-0,2;-0,17;-0,18;-0,07;-0,14;0
37,8;1,18;-0,47;0,23;0,35;0,79;0,1;0,4;-0,37;0,38;-0,26;-0,03;-0,84;43,82;1,69;-0,1;0,32;0,32;0,29;0,01;0,07;-0,25;-0,12;-0,25;-0,13;-0,21;0
51,54;1,32;-2,26;-0,78;1,32;0,31;-0,18;-0,13;-0,52;-0,51;0,4;-0,23;-0,86;43,42;1,73;-0,09;0,29;0,38;0,29;-0,04;0;-0,28;-0,14;-0,2;-0,15;-0,26;0
53;2,23;-3,1;-1,02;1,21;0,07;0,09;0,56;-0,17;-0,11;1,23;0;-0,96;44,26;1,51;-0,35;0,19;0,44;0,3;0,02;0,04;-0,3;-0,14;-0,12;-0,18;-0,33;0
55,3;1,7;-2,27;-0,56;1,19;0,1;-0,19;0,66;-0,11;-0,1;0,64;-0,18;-1;45,22;1,55;-0,67;0,03;0,51;0,31;0,08;0,16;-0,33;-0,19;-0,05;-0,18;-0,37;0
45,9;3,52;-0,52;-0,07;0,22;-0,41;-0,18;0,47;-0,27;-0,02;0,19;-0,16;-0,75;45,25;1,81;-0,77;-0,05;0,5;0,25;0,07;0,24;-0,3;-0,16;0,03;-0,16;-0,45;0
44,8;1,58;0,16;1,22;0,33;-0,46;-0,14;0,1;-0,24;-0,08;-0,1;0;-0,24;45,41;1,86;-0,74;0,05;0,54;0,22;0,1;0,27;-0,28;-0,13;0,06;-0,15;-0,46;0
43,75;1,22;-0,67;0,62;0,17;-0,25;0,24;0,5;-0,63;-0,76;-0,71;-0,15;-0,63;45,7;1,85;-0,78;0,08;0,54;0,18;0,16;0,37;-0,25;-0,14;0,02;-0,11;-0,51;0
44,65;1,01;0,17;0,11;-0,29;-0,38;-0,21;0,04;-0,3;-0,14;-0,23;-0,05;-0,01;45,79;1,78;-0,84;0,08;0,51;0,09;0,1;0,35;-0,27;-0,13;0,07;-0,09;-0,54;0
39,83;2,62;-0,09;1,06;0,51;0,66;0,42;0,21;0,19;0,14;-0,6;-0,48;-0,25;45,58;1,87;-0,9;0,13;0,51;0,07;0,07;0,32;-0,24;-0,12;0,02;-0,12;-0,53;0
46,17;1,2;0,6;0,3;0,01;0,23;0,04;-0,06;-0,28;-0,09;-0,25;-0,08;0,05;46,27;1,76;-0,84;0,11;0,5;0,07;0;0,27;-0,27;-0,13;0,03;-0,14;-0,55;0
43,65;1,08;-0,27;-0,45;0;0,32;-0,14;0,2;0,07;-0,33;-0,57;-0,51;-0,45;46,86;1,75;-0,82;0,04;0,47;0,02;-0,03;0,25;-0,23;-0,2;0;-0,18;-0,51;0
38,43;1,89;-0,12;1,45;0,8;0,21;0,26;-0,01;-0,08;-0,29;-0,47;-0,9;-0,62;45,55;1,81;-0,61;0,27;0,41;0,01;0,02;0,27;-0,18;-0,18;-0,09;-0,25;-0,48;0
40,79;0,72;-0,1;0,33;0,6;0,98;0,82;0,35;-0,24;-0,84;-1,02;-0,49;-0,53;44,33;1,65;-0,31;0,4;0,35;0,1;0,09;0,25;-0,19;-0,25;-0,31;-0,3;-0,44;0
39,24;1,76;0,09;1,14;0,69;0,73;0,65;1,09;0,63;0,47;-0,33;0,33;-0,23;42,72;1,66;-0,08;0,57;0,3;0,16;0,18;0,29;-0,11;-0,19;-0,41;-0,25;-0,37;0
51,99;1,65;-3,94;-0,6;-0,32;-0,56;-1,03;-0,27;-1;-0,75;0,19;-0,45;-0,93;43,33;1,47;-0,42;0,52;0,25;0,15;0,09;0,21;-0,19;-0,27;-0,41;-0,28;-0,38;0
54,67;1,99;-2,37;-0,49;0,93;0,37;-0,04;0,48;-0,53;-0,21;0,64;-0,41;-1,25;44,32;1,51;-0,67;0,35;0,31;0,23;0,1;0,25;-0,22;-0,28;-0,33;-0,32;-0,48;0
50,16;1,48;-1,48;-0,48;0,43;0,18;0,17;0,63;-0,01;0,06;0,47;0,25;-0,38;44,96;1,54;-0,75;0,24;0,34;0,27;0,09;0,26;-0,15;-0,2;-0,22;-0,28;-0,46;0
41,99;1,39;-0,34;1,11;0,5;0,27;0,41;0,06;-0,59;-0,17;0,38;0,03;-0,31;44,69;1,58;-0,8;0,34;0,41;0,34;0,16;0,27;-0,18;-0,2;-0,16;-0,27;-0,49;0
43,87;1,53;0,22;0,75;0,42;0,17;0,41;0,22;-0,26;0,2;0,53;-0,11;-0,44;45,09;1,47;-0,77;0,31;0,41;0,29;0,16;0,27;-0,23;-0,19;-0,04;-0,23;-0,51;0
39,51;2,74;-0,09;0,86;0,63;0,23;0,3;0,11;0,17;0,13;0,5;0,76;-0,13;44,43;1,62;-0,84;0,36;0,47;0,29;0,18;0,29;-0,18;-0,17;0,03;-0,15;-0,53;0
38,69;2,07;0,14;0,7;0,66;0,18;0,46;0,1;0,21;-0,27;0,19;0,01;-0,21;43,93;1,72;-0,8;0,48;0,53;0,27;0,24;0,28;-0,17;-0,16;0,11;-0,1;-0,5;0
41,76;-0,48;-1,21;-1,26;-1,13;-1,03;-1,01;-0,71;-0,88;-0,9;-0,69;-0,57;-0,49;44,26;1,48;-0,91;0,21;0,34;0,15;0,11;0,2;-0,25;-0,23;0,09;-0,06;-0,49;0
39,07;2,54;0,04;0,69;0,68;0,36;0,6;-0,25;0,24;0,17;0,05;-0,44;-0,43;44,09;1,67;-0,89;0,24;0,35;0,09;0,09;0,15;-0,2;-0,13;0,19;-0,06;-0,48;0
40,33;1,87;0,16;0,93;0,76;-0,14;0,16;0,14;-0,06;-0,22;0,11;-0,58;-0,39;44,2;1,68;-0,89;0,22;0,36;0;0,04;0,05;-0,27;-0,19;0,24;-0,15;-0,49;0
39,73;2,4;-1,44;-0,01;0,05;0,53;0,51;-0,18;-0,27;0,34;0,2;0,12;0,21;42,98;1,75;-0,64;0,28;0,39;0,11;0,2;0,06;-0,2;-0,09;0,24;-0,09;-0,38;0
41,94;1,79;0,43;0,96;0,23;0,35;0,51;0,29;-0,27;0,14;-0,14;-0,34;-0,2;41,71;1,73;-0,36;0,43;0,32;0,11;0,25;0,04;-0,17;-0,05;0,16;-0,09;-0,27;0
54,11;2,3;-2,58;-1,15;1,1;0,04;-0,37;0,98;0,05;-0,35;0,67;0,41;-0,54;42,1;1,82;-0,47;0,36;0,39;0,09;0,2;0,08;-0,17;-0,09;0,18;-0,07;-0,29;0
56,76;-0,77;-2,06;-0,28;0,67;0,38;-0,02;0,14;-0,08;0,38;0,73;0,36;-0,19;43,58;1,6;-0,64;0,22;0,41;0,11;0,15;0,09;-0,12;-0,04;0,21;-0,04;-0,28;0
45,75;2,59;0,43;-0,14;-0,26;0,04;-0,28;-0,16;-0,28;-0,07;-0,11;-0,08;-0,26;43,77;1,71;-0,62;0,13;0,34;0,09;0,09;0,05;-0,12;-0,06;0,15;-0,04;-0,26;0
45,1;2,08;0,64;0,86;0,53;0,02;-0,57;0,05;-0,02;0,06;0,17;-0,14;-0,45;44,32;1,64;-0,54;0,13;0,33;0,07;0;0,04;-0,14;-0,07;0,12;-0,12;-0,29;0
41,5;1,24;-0,46;1,49;0,52;0,35;0,81;0,63;0,22;0,39;-0,3;-0,19;-0,28;44,61;1,56;-0,6;0,21;0,32;0,09;0,03;0,09;-0,14;-0,01;0,07;-0,15;-0,3;0
45,37;1,25;0,57;0,57;0,13;0,08;0,01;0,11;-0,33;-0,39;-0,24;0,21;0,29;44,97;1,73;-0,43;0,39;0,44;0,2;0,14;0,18;-0,08;0,04;0,11;-0,07;-0,22;0
40,92;1,77;0,04;-0,08;-0,16;-0,38;-0,57;-0,4;-0,21;-0,17;-0,53;-0,32;0,26;45,15;1,65;-0,43;0,32;0,36;0,13;0,02;0,16;-0,13;0,01;0,06;-0,06;-0,15;0
41,68;0,99;0,31;0,19;-0,16;-0,26;-0,51;-0,55;-0,76;-0,58;-0,33;0,27;0,12;45,29;1,56;-0,41;0,24;0,26;0,11;-0,05;0,09;-0,2;-0,03;0,01;0,03;-0,1;0
43,78;1,09;0,42;-0,1;0,1;0,61;0,26;-0,04;-0,37;-0,4;-0,44;-0,24;-0,4;45,69;1,43;-0,23;0,23;0,27;0,12;-0,07;0,11;-0,21;-0,1;-0,05;-0,01;-0,16;0
39,47;2,63;0,59;1,68;1,01;0,66;0,28;0,49;-0,08;-0,47;-0,29;-0,33;-0,65;45,44;1,52;-0,21;0,3;0,35;0,15;-0,1;0,13;-0,19;-0,16;-0,07;-0,01;-0,21;0
41,54;1,94;0,38;0,59;0,33;0,73;0,58;0,2;0,44;0,09;-0,3;0,14;0,05;44,19;1,48;0,09;0,48;0,27;0,22;0;0,05;-0,15;-0,12;-0,16;-0,03;-0,15;0
39,82;2,16;-0,48;1,28;-0,03;0,51;0,5;0,23;0,19;0,01;-0,01;-0,07;-0,39;42,49;1,77;0,24;0,63;0,2;0,24;0,05;0,06;-0,12;-0,15;-0,24;-0,07;-0,17;0
54,19;1,26;-2,5;-1,35;0,32;-0,1;0,04;0,97;0,28;-0,05;0,61;0,43;-0,17;43,34;1,64;-0,05;0,51;0,26;0,22;0,08;0,17;-0,06;-0,15;-0,17;-0,02;-0,16;0
56,71;1,23;-1,71;-0,32;0,96;0,52;-0,09;0,06;-0,36;0,01;0,52;0,23;-0,55;44,5;1,55;-0,28;0,4;0,3;0,27;0,13;0,17;-0,1;-0,16;-0,13;0,01;-0,17;0
47,33;2,85;0,28;0,38;0,51;0,06;-0,33;0,06;-0,24;-0,17;-0,11;-0,06;-0,26;45,08;1,72;-0,21;0,28;0,3;0,24;0,02;0,11;-0,15;-0,21;-0,11;0,03;-0,17;0
41,62;2,39;-0,35;0,79;1,2;0,86;0,25;0,2;-0,12;-0,35;0;0,19;0,09;44,71;1,83;-0,3;0,31;0,41;0,32;0,04;0,12;-0,12;-0,21;-0,09;0,02;-0,19;0
44,88;1,24;0,53;0,45;0,16;0,15;0,04;0,39;-0,11;0,18;-0,11;-0,38;-0,28;45,1;1,78;-0,25;0,36;0,44;0,37;0,1;0,2;-0,11;-0,17;-0,05;0,02;-0,24;0
41,83;1,56;0,78;0,65;0,24;0,93;0,57;-0,02;-0,01;0;-0,29;0,16;0,02;45,12;1,83;-0,21;0,41;0,48;0,49;0,21;0,25;-0,04;-0,11;-0,04;0,01;-0,25;0
39,64;1,72;0,36;0,48;0,21;0,03;0,56;0,47;-0,2;-0,26;0,12;0,05;-0,09;44,7;1,9;-0,21;0,46;0,49;0,44;0,24;0,3;-0,02;-0,1;0,01;0,03;-0,22;0
40,08;1,52;0,08;0,6;0,35;-0,09;-0,35;-0,51;-0,28;0,05;0,24;0,05;-0,45;44,76;1,78;-0,26;0,36;0,42;0,36;0,18;0,2;-0,04;-0,05;0,07;0,07;-0,2;0
40,19;2,02;-0,19;0,68;0,4;-0,17;-0,3;-0,29;-0,45;0,01;-0,14;0,03;-0,24;44,63;1,79;-0,32;0,36;0,43;0,27;0,09;0,16;-0,13;-0,06;0,08;0,06;-0,23;0
40,19;2,2;0,46;1;0,74;0,6;0,39;0,19;0,19;0,58;-0,32;0,19;-0,06;44,66;1,8;-0,23;0,34;0,51;0,28;0,08;0,15;-0,13;0;0,05;0,09;-0,2;0
39,83;1,9;-0,17;0,37;0,57;1,01;0,75;0,52;0,4;0,58;0,12;-0,05;0,01;43,23;1,86;0,01;0,51;0,53;0,39;0,15;0,11;-0,12;0,06;0;0,04;-0,18;0
45,03;2,64;-2,52;-0,89;1,22;-0,38;-0,47;0,76;0,23;-0,37;0,28;0;-0,4;42,06;2;-0,07;0,45;0,56;0,3;0,11;0,18;-0,06;0,03;-0,02;0,02;-0,16;0
57,18;0,24;-1,5;-0,37;0,91;0,75;0,05;0,34;0,17;0,12;0,33;0,48;0,03;43,05;1,74;-0,25;0,38;0,6;0,37;0,15;0,2;-0,02;0,05;0,02;0,07;-0,14;0
55,4;1,71;-1,61;-0,48;1,17;0,56;-0,06;0,1;-0,18;-0,05;0,43;-0,01;-0,76;44,42;1,67;-0,38;0,25;0,6;0,34;0,12;0,19;-0,02;0,08;0,07;0,05;-0,22;0
47,77;1,77;0,37;0,19;-0,11;0,11;0,02;0,02;-0,22;-0,09;-0,04;0,19;0,11;44,71;1,73;-0,39;0,22;0,57;0,34;0,12;0,16;-0,04;0,06;0,07;0,11;-0,18;0
43,6;1,46;-0,57;0,61;-0,03;0,02;0,72;0,34;-0,54;0,11;0,17;0,09;0,09;44,89;1,72;-0,53;0,22;0,54;0,24;0,13;0,19;-0,09;0,07;0,12;0,1;-0,17;0
49,21;1,23;0,04;0,37;0,22;0,11;0,04;0,12;-0,01;0,22;-0,19;-0,23;-0,1;45,85;1,67;-0,56;0,21;0,54;0,25;0,08;0,16;-0,07;0,12;0,09;0,08;-0,18;0
40,32;0,91;-0,02;0,78;0,39;0,7;0,72;1,21;0,96;0,77;0,41;0,51;0,27;45,87;1,61;-0,57;0,23;0,55;0,33;0,19;0,33;0,06;0,19;0,1;0,12;-0,1;0
40,54;3,06;0,6;1,08;-0,02;0,53;0,01;0,32;-0,73;-0,41;-0,19;0,01;-0,42;45,91;1,71;-0,49;0,27;0,51;0,4;0,22;0,39;0,03;0,15;0,1;0,12;-0,12;0
42,56;1,27;0,13;-0,09;-0,22;0,01;-0,06;0,49;0,1;0,1;-0,4;-0,29;0;46,14;1,62;-0,52;0,16;0,41;0,34;0,17;0,42;0,02;0,1;0,09;0,07;-0,12;0
40,06;1,42;0,1;0,87;1,43;1,17;0,49;0,06;-0,61;-0,85;-0,39;-0,07;-0,54;46,17;1,57;-0,5;0,21;0,49;0,36;0,15;0,38;-0,08;-0,04;0,04;0,07;-0,17;0
39,07;1,91;0,51;0,1;0,49;-0,11;0,7;-0,08;0,31;0,33;0,29;-0,1;0,32;45,57;1,5;-0,2;0,31;0,42;0,38;0,26;0,29;-0,07;0,03;0,04;0,06;-0,1;0
43,29;1,21;0,83;0,97;0,51;0,13;-0,12;-0,17;-0,37;-0,09;-0,01;-0,34;-0,57;44,18;1,59;0,04;0,44;0,38;0,32;0,25;0,24;-0,13;0,01;0,01;-0,02;-0,16;0
51,43;2,36;-3,2;-1,4;1,66;0,34;-0,4;0,03;-0,54;-0,55;0,55;-0,5;-0,68;43,79;1,66;-0,12;0,35;0,43;0,3;0,21;0,23;-0,16;-0,04;0,02;-0,07;-0,15;0
56,18;0,98;-2,74;-0,62;0,88;0,27;-0,08;0,16;-0,14;0,02;0,23;-0,07;-0,74;44,63;1,58;-0,43;0,27;0,53;0,32;0,2;0,25;-0,16;-0,03;0,05;-0,1;-0,24;0
56,02;-0,18;-2,48;-1;0,32;0,52;0,18;0,45;-0,07;0,19;0,79;0,72;0,01;45,87;1,41;-0,62;0,11;0,57;0,37;0,15;0,26;-0,11;-0,03;0,11;-0,03;-0,25;0
43,16;2,81;-0,03;0,58;0,5;0,58;0,29;0,14;-0,32;-0,01;0,52;0,38;-0,26;45,26;1,57;-0,63;0,13;0,59;0,41;0,17;0,26;-0,14;-0,05;0,18;0,03;-0,26;0
46,69;1,99;0,23;0,47;0,61;0,28;0,37;0,36;-0,25;-0,06;-0,13;-0,02;-0,03;45,9;1,68;-0,61;0,09;0,62;0,37;0,14;0,18;-0,26;-0,13;0,13;-0,03;-0,29;0
43,94;1,34;0,03;0,61;-0,01;0,02;0,97;1,06;-0,2;-0,47;-0,34;0,18;-0,01;46,24;1,51;-0,66;0,05;0,62;0,32;0,23;0,25;-0,21;-0,14;0,11;-0,01;-0,25;0
42,48;1,01;0,49;-0,06;-0,07;0,64;0,36;-0,32;-0,76;-0,29;-0,39;-0,29;0,08;46,23;1,48;-0,63;0,05;0,63;0,38;0,28;0,17;-0,3;-0,18;0,11;-0,01;-0,24;0
45;1;0,49;0,24;-0,31;-0,08;-0,47;-0,49;-0,4;-0,13;-0,36;-0,25;-0,13;46,73;1,44;-0,59;-0,01;0,46;0,26;0,18;0,11;-0,27;-0,11;0,12;-0,03;-0,2;0
39,78;1,88;-0,04;1,15;0,34;0,85;0,23;0,26;0,18;0,05;0,16;0,17;0,26;46,8;1,44;-0,64;0,09;0,44;0,36;0,13;0,15;-0,29;-0,14;0,1;0;-0,21;0
39,66;2,42;-0,32;1,21;-0,09;0,11;0,51;0,42;-0,15;-0,4;-0,22;0,18;0,38;46,43;1,56;-0,76;0,12;0,38;0,35;0,2;0,21;-0,27;-0,17;0,08;0,05;-0,11;0
41,76;1,5;0,18;1,52;0,6;1,13;0,6;-0,13;0,03;-0,1;-0,08;0;-0,19;45,47;1,47;-0,42;0,41;0,28;0,43;0,3;0,19;-0,21;-0,12;0,02;0,1;-0,06;0
45,4;0,85;0,78;0,72;-0,2;-0,03;-0,15;0,03;0;-0,13;-0,25;0,03;-0,36;44,39;1,46;-0,07;0,54;0,17;0,4;0,29;0,18;-0,19;-0,14;-0,03;0,11;-0,03;0
45,45;0,45;-0,4;-0,26;-0,16;-0,27;-0,48;-0,24;-0,38;-0,14;-0,12;-0,05;0,17;43,33;1,52;0,14;0,62;0,12;0,32;0,22;0,11;-0,23;-0,17;-0,12;0,03;-0,01;0
54,55;1,37;-1,98;-1,36;0,75;0,32;0,04;0,02;0,18;-0,09;0,73;0,71;-0,09;44,47;1,38;-0,05;0,42;0,15;0,3;0,2;0,1;-0,18;-0,18;-0,1;0,07;0,01;0
54,97;2,13;-2,45;-1,38;1,25;0,34;-0,3;0,26;-0,22;-0,58;-0,2;-0,38;-0,7;45,3;1,39;-0,32;0,24;0,21;0,3;0,13;0,09;-0,17;-0,23;-0,11;0,03;-0,06;0
50,37;2,06;0,19;0,2;0,32;0,29;0,08;0,27;-0,23;-0,06;0,25;0,1;-0,37;45,94;1,47;-0,3;0,2;0,24;0,33;0,04;0,01;-0,17;-0,19;-0,05;0,02;-0,1;0
48,21;-0,44;0,19;2,24;1,23;1,08;0,09;-0,52;-0,69;-0,25;0,33;0,48;0,09;46,52;1,32;-0,33;0,43;0,37;0,38;0,02;-0,01;-0,17;-0,18;0,02;0,1;-0,09;0
43,23;2,13;0,07;0,85;0,79;0,63;0,39;0,18;-0,1;0,21;0,32;-0,08;-0,07;46,34;1,43;-0,38;0,49;0,48;0,45;0,1;0,06;-0,14;-0,15;0,09;0,12;-0,09;0
41,97;1,87;0,54;1,11;0,25;0,18;0,63;0;-0,43;-0,01;-0,01;-0,12;-0,12;46,56;1,43;-0,32;0,49;0,47;0,38;0,14;0,03;-0,2;-0,15;0,07;0,09;-0,13;0
43,74;1,26;0,24;0,35;-0,02;-0,28;-0,27;0,16;0,11;0,1;0,03;0,06;0,12;46,97;1,32;-0,26;0,4;0,48;0,34;0,06;0;-0,17;-0,1;0,1;0,07;-0,15;0
43,33;1,61;0,62;0,32;-0,76;-0,14;-0,02;0,27;0,04;-0,01;-0,17;0,06;0,43;47,12;1,33;-0,22;0,28;0,34;0,21;0;0,04;-0,17;-0,1;0,09;0,08;-0,09;0
43,67;0,82;0,51;0,41;-0,43;-0,34;-0,04;0,32;0,39;0,53;-0,04;-0,01;0,08;46,95;1,33;-0,25;0,25;0,32;0,18;0,01;0,07;-0,13;-0,03;0,11;0,08;-0,05;0
41,03;2,39;0,25;0,57;0,22;0,34;0,01;0,23;0,36;-0,02;-0,37;0,06;0,2;46,51;1,52;-0,18;0,33;0,36;0,24;0,06;0,12;-0,06;-0,02;0,09;0,09;-0,04;0
40,8;2,6;0,42;1,27;0,34;0,52;-0,48;-0,46;-0,6;-0,12;-0,26;-0,59;-0,39;45,13;1,64;0,06;0,59;0,32;0,26;0,01;0,07;-0,14;-0,02;-0,01;-0,04;-0,07;0
43,25;1,34;0,42;0,48;0,05;0,07;0,01;-0,03;0,05;-0,11;-0,11;0,24;0,24;43,96;1,57;0,34;0,78;0,2;0,24;0,04;0,04;-0,11;0,03;0;0,02;0,02;0
44,78;1,98;-1,12;-0,5;0,09;-0,24;-0,38;0,38;-0,12;0,21;-0,21;0,15;-0,19;43,4;1,56;0,21;0,71;0,17;0,18;-0,01;0,05;-0,1;0,05;-0,05;0,02;0,04;0
55,99;1,22;-2,25;-0,66;0,14;0,29;-0,48;0,32;-0,5;0,19;0,56;0,3;-0,58;44,18;1,72;-0,03;0,42;0,07;0,1;-0,06;0,14;-0,08;0,1;-0,03;0,01;-0,03;0
56,72;0,55;-2,2;-0,86;-0,03;-0,33;-0,46;0,58;0,09;-0,17;0,09;-0,01;-0,49;45,53;1,56;-0,26;0,25;-0,02;0,01;-0,15;0,18;-0,06;0,06;-0,05;0,01;-0,07;0
49,99;1,91;-0,22;0,13;0,46;0,02;-0,25;0,26;-0,26;-0,32;0,09;0,32;0,04;46,33;1,57;-0,33;0,15;0,01;-0,01;-0,24;0,2;-0,04;0,03;-0,04;0,06;-0,06;0
47,24;1,45;0,97;0,69;0,36;0,73;0,23;-0,14;0,18;0,14;-1,07;-0,56;0,19;46,68;1,59;-0,26;0,18;0,04;0,09;-0,19;0,17;-0,04;0,03;-0,15;0;-0,05;0
43,97;1,27;0,46;0,83;0,75;0,74;0,31;0,05;-0,39;-1,17;-1,23;-0,35;-0,17;46,74;1,55;-0,28;0,24;0,19;0,18;-0,15;0,15;-0,08;-0,09;-0,25;-0,04;-0,11;0
40,9;1,95;0,16;1,14;0,55;0,49;0,37;-0,15;0,33;0,21;-0,11;0,16;0,08;46,47;1,67;-0,31;0,31;0,29;0,26;-0,11;0,1;-0,09;-0,12;-0,26;-0,03;-0,11;0
45,59;1;0,26;0,22;-0,14;-0,16;-0,54;-0,13;-0,24;-0,28;-0,23;0,08;-0,09;46,92;1,53;-0,31;0,27;0,26;0,21;-0,17;0,07;-0,15;-0,14;-0,25;-0,03;-0,14;0
43;1,42;0,32;0,63;1,13;0,51;-0,25;-0,17;-0,26;0,2;-0,02;0,2;0,31;47,14;1,41;-0,32;0,21;0,34;0,21;-0,14;0,1;-0,11;-0,11;-0,22;0,05;-0,07;0
40,79;1,8;-0,49;0,27;-1;-0,17;0,21;-0,16;-0,49;-0,06;-0,59;0,1;0,29;46,9;1,45;-0,41;0,19;0,23;0,19;-0,12;0,08;-0,17;-0,11;-0,27;0,04;-0,06;0
41,61;1,92;0,31;0,91;0,12;0,42;0,5;0,23;-0,12;-0,09;-0,42;-0,4;-0,39;46,58;1,45;-0,27;0,33;0,23;0,25;-0,04;0,07;-0,17;-0,14;-0,29;-0,02;-0,08;0
43,92;1,91;0,6;0,9;0,5;0,08;-0,26;-0,06;-0,52;-0,36;-0,29;-0,21;0,02;45,37;1,52;0,01;0,49;0,27;0,23;-0,01;0,03;-0,17;-0,19;-0,38;-0,07;-0,02;0
51,83;3,28;-3,38;-0,79;1,2;-0,02;-0,28;0,66;-0,51;-0,46;0,46;0,53;-0,52;44,89;1,79;-0,1;0,49;0,39;0,26;0;0,04;-0,23;-0,22;-0,34;-0,01;-0,02;0
54,01;2,74;-3,64;-1,36;0,4;0,12;-0,21;0,96;-0,21;-0,16;0,92;0,41;-0,22;45,29;1,87;-0,44;0,35;0,39;0,27;0,01;0,11;-0,22;-0,2;-0,26;0;-0,05;0
56,65;0,43;-1,44;-0,73;0,42;0,66;-0,23;-0,52;-0,52;0;0,07;0,19;0,08;46,23;1,77;-0,69;0,2;0,39;0,27;-0,04;0,07;-0,29;-0,22;-0,14;0,07;-0,06;0
47,87;1,01;0,56;0,57;-0,1;-0,41;-0,64;-0,18;-0,04;0;-0,24;-0,09;-0,07;46,62;1,75;-0,67;0,18;0,31;0,15;-0,13;0,05;-0,26;-0,1;-0,04;0,1;-0,05;0
41,45;2,59;-0,9;1,32;0,16;0,22;0,15;0,23;0,08;-0,33;-0,06;-0,27;0,3;46,67;1,81;-0,78;0,19;0,27;0,13;-0,15;0,09;-0,28;-0,15;-0,04;0,05;-0,03;0
42,22;3,09;-0,28;1,68;0,14;0,66;0,91;0,51;-0,39;0,07;-0,11;-0,22;-0,14;46,34;2,02;-0,83;0,34;0,3;0,21;-0,01;0,15;-0,3;-0,12;-0,03;0,02;-0,03;0
40,84;2,24;0,19;1,21;0,92;1,08;0,19;0,25;-0,3;-0,59;-0,57;-0,13;0,22;46,12;2,1;-0,85;0,4;0,28;0,26;0,03;0,19;-0,3;-0,2;-0,08;-0,01;-0,04;0
40,7;2,57;-0,4;0,87;-0,46;-0,22;-0,46;0,21;-0,17;-0,84;-1,05;-0,32;-0,26;46,11;2,18;-0,84;0,46;0,33;0,26;-0,03;0,23;-0,27;-0,28;-0,13;-0,05;-0,1;0
42,69;1,47;0,45;0,89;0,23;-0,21;0,12;-0,36;-0,09;-0,04;-0,57;-0,21;0,17;46,22;2,13;-0,82;0,46;0,34;0,19;-0,07;0,17;-0,27;-0,27;-0,14;-0,03;-0,04;0
42,53;1,2;0,01;1,05;0,61;0,43;0,56;0,56;0,42;-0,1;0,3;0,89;0,3;46,08;2,06;-0,88;0,47;0,35;0,23;0,01;0,23;-0,17;-0,24;-0,08;0,08;-0,01;0
46,08;0,36;-0,38;0,22;-0,23;-0,63;-0,62;-0,65;-0,79;-0,25;-0,45;-0,16;-0,09;45,5;1,77;-0,58;0,57;0,21;0,17;-0,02;0,1;-0,2;-0,22;-0,18;0,01;0,03;0
42,22;0,45;-0,5;-0,22;-0,94;-0,83;-0,72;-0,32;-0,79;-0,07;-1,16;0,03;0,23;44,32;1,54;-0,27;0,69;0,07;0,07;-0,07;-0,03;-0,26;-0,21;-0,38;-0,03;0,08;0
54,09;2,47;-3,37;-0,94;0,87;-0,42;-0,13;0,91;-0,06;-0,18;0,66;0,21;-0,22;44,07;1,74;-0,46;0,67;0,12;-0,03;-0,06;0,12;-0,21;-0,23;-0,32;-0,03;0,04;0
58,13;0,39;-2,19;-0,47;0,62;0,4;0,2;0,24;-0,44;0,08;0,34;0,14;-0,57;45,09;1,68;-0,74;0,56;0,19;0,05;0,02;0,16;-0,25;-0,22;-0,27;0;-0,01;0
54,6;2,62;-2,84;-1,02;1,25;0,44;-0,16;0,91;-0,12;-0,62;0,04;-0,15;-0,25;46,41;1,69;-0,93;0,33;0,3;0,07;-0,01;0,23;-0,27;-0,25;-0,26;0,01;-0,06;0
44,99;0,13;0,92;0,56;0,69;0,55;0,15;-0,26;0,01;0,81;0,64;0,24;-0,11;46,69;1,39;-0,81;0,22;0,36;0,06;-0,09;0,15;-0,23;-0,18;-0,18;0,05;-0,06;0
45,81;1,05;0,23;0,92;0,17;0,36;0;-0,73;-0,84;-0,05;-0,33;-0,55;0,19;47,18;1,27;-0,81;0,19;0,28;-0,01;-0,11;0,05;-0,29;-0,13;-0,16;0,01;-0,06;0
46,13;0,91;0,35;0,04;-0,54;-0,66;-0,44;-0,21;-0,71;-0,35;-0,11;-0,01;-0,01;47,73;1,11;-0,73;0,1;0,27;-0,06;-0,1;0,01;-0,34;-0,08;-0,06;0,04;-0,04;0
44,81;1,87;0,92;0,71;0,01;-0,02;-0,22;0,01;0,15;0,27;-0,03;-0,34;-0,38;47,94;1,15;-0,68;0,09;0,25;-0,04;-0,14;0,04;-0,32;-0,04;-0,01;0,03;-0,09;0
